Timestamp,GPU,# of GPUs,Server,Concurrency,Model,# of Requests,BatchSize,Theta (inf/s),Time to inference
14:14:44.124946,CPU,1,1,1,small_lstm,128,1,49.030837496532875,2.6106019504368305
14:14:46.736546,CPU,1,1,1,small_lstm,128,2,98.77882044429616,2.5916486838832498
14:14:49.328893,CPU,1,1,1,small_lstm,128,4,196.8976999293968,2.6003350988030434
14:14:51.929980,CPU,1,1,1,small_lstm,128,8,392.2032625807664,2.6108910804614425
14:14:54.541590,CPU,1,1,1,small_lstm,128,16,791.8837911943549,2.58623806014657
14:14:57.128575,CPU,1,1,1,small_lstm,128,32,1568.7306106622455,2.6110282875597477
14:14:59.740345,CPU,1,1,1,small_lstm,128,64,3083.3311177966357,2.6568667739629745
14:15:02.397947,CPU,1,1,1,small_lstm,128,128,6341.845563439043,2.5834750840440392
14:15:04.982143,CPU,1,1,1,small_lstm,128,256,12504.220401214638,2.620555216446519
14:15:07.603444,CPU,1,1,1,small_lstm,128,512,25194.365711789276,2.601216508075595
14:15:10.205401,CPU,1,1,1,small_lstm,128,1024,49944.61661200966,2.6243469044566154
14:15:12.830526,CPU,1,1,1,medium_cnn,128,1,49.14725133577455,2.6044182842597365
14:15:15.435698,CPU,1,1,1,medium_cnn,128,2,97.74131059513677,2.619158659130335
14:15:18.055571,CPU,1,1,1,medium_cnn,128,4,196.52927490264682,2.605209835804999
14:15:20.661516,CPU,1,1,1,medium_cnn,128,8,389.7780041369263,2.627136444672942
14:15:23.289383,CPU,1,1,1,medium_cnn,128,16,776.9498769715177,2.6359486766159534
14:15:25.926059,CPU,1,1,1,medium_cnn,128,32,1546.831683827419,2.6479933420196176
14:15:28.574778,CPU,1,1,1,medium_cnn,128,64,2994.3558249870553,2.7358138039708138
14:15:31.311335,CPU,1,1,1,medium_cnn,128,128,5751.1268436687415,2.848833010531962
14:15:34.160868,CPU,1,1,1,medium_cnn,128,256,10667.427935973845,3.071780770085752
14:15:37.233413,CPU,1,1,1,medium_cnn,128,512,18508.2553738345,3.5409064050763845
14:15:40.775057,CPU,1,1,1,medium_cnn,128,1024,29334.73579703906,4.46815000846982
14:15:45.243953,CPU,1,1,1,large_tcnn,128,1,48.32651518520983,2.648649494163692
14:15:47.893336,CPU,1,1,1,large_tcnn,128,2,97.56336208444245,2.62393581494689
14:15:50.518005,CPU,1,1,1,large_tcnn,128,4,194.51141063073294,2.6322363214567304
14:15:53.150952,CPU,1,1,1,large_tcnn,128,8,385.74040561579073,2.6546350475400686
14:15:55.806327,CPU,1,1,1,large_tcnn,128,16,757.7808422617902,2.702628366649151
14:15:58.509685,CPU,1,1,1,large_tcnn,128,32,1461.1103866445626,2.803347397595644
14:16:01.313767,CPU,1,1,1,large_tcnn,128,64,2765.4931239422513,2.962220346555114
14:16:04.276691,CPU,1,1,1,large_tcnn,128,128,4972.433593811638,3.2949660746380687
14:16:07.572364,CPU,1,1,1,large_tcnn,128,256,8170.465177794238,4.01054276432842
14:16:12.775741,CPU,1,1,1,large_tcnn,128,512,12143.917443161878,5.396611127071083
14:16:18.173097,CPU,1,1,1,large_tcnn,128,1024,16098.691820317752,8.141779559664428
