Timestamp,GPU,# of GPUs,Server,Concurrency,Model,# of Requests,BatchSize,Theta (inf/s),Time to inference
22:29:05.422717,V100,1,1,1,small_lstm,32768,1,2133.5558369072382,15.358398141339421
22:29:23.357198,V100,1,1,2,small_lstm,32768,1,15638.629518071752,4.190648542717099
22:29:26.475217,V100,1,1,4,small_lstm,32768,1,34074.92631587036,3.84658205229789
22:29:36.561631,V100,1,1,6,small_lstm,32768,1,22883.23110323033,8.591793663799763
22:29:40.315290,V100,1,1,8,small_lstm,32768,1,75639.25991668126,3.4657134441658854
22:29:40.884742,V100,1,1,1,small_lstm,32768,2,96428.46659211784,0.6796333314850926
22:29:42.304126,V100,1,1,2,small_lstm,32768,2,81944.54832194008,1.5995206842198968
22:29:45.968230,V100,1,1,4,small_lstm,32768,2,78383.73291067354,3.3443673867732286
22:29:52.927334,V100,1,1,6,small_lstm,32768,2,56171.58425198847,7.000265440903604
22:30:01.194133,V100,1,1,8,small_lstm,32768,2,66312.38869530302,7.906335608102381
22:30:01.421534,V100,1,1,1,small_lstm,32768,4,567869.2113234755,0.230813710950315
22:30:01.956931,V100,1,1,2,small_lstm,32768,4,193997.5933590508,1.3512744950130582
22:30:04.087918,V100,1,1,4,small_lstm,32768,4,418685.05000927416,1.2522252704948187
22:30:05.867438,V100,1,1,6,small_lstm,32768,4,388712.9879358158,2.023168827407062
22:30:08.117627,V100,1,1,8,small_lstm,32768,4,528956.7119256834,1.9823474707081914
22:30:08.267728,V100,1,1,1,small_lstm,32768,8,2036974.3399805003,0.12869283370673656
22:30:08.535331,V100,1,1,2,small_lstm,32768,8,1870687.6120913136,0.2802648590877652
22:30:09.129678,V100,1,1,4,small_lstm,32768,8,1720306.6811901329,0.6095285285264254
22:30:10.194278,V100,1,1,6,small_lstm,32768,8,1368987.3633024024,1.1489251414313912
22:30:11.634615,V100,1,1,8,small_lstm,32768,8,1545686.8867117546,1.356776730157435
22:30:11.796791,V100,1,1,1,small_lstm,32768,16,3537652.165613665,0.14820224698632956
22:30:12.088631,V100,1,1,2,small_lstm,32768,16,3598463.782293607,0.2913954574614763
22:30:13.004160,V100,1,1,4,small_lstm,32768,16,1872460.62105786,1.119997919537127
22:30:14.852559,V100,1,1,6,small_lstm,32768,16,1847101.1014116374,1.7030621645972133
22:30:16.661737,V100,1,1,8,small_lstm,32768,16,2295144.2860037037,1.8274685498327017
22:30:16.892762,V100,1,1,1,small_lstm,32768,32,5985340.602231019,0.17519069835543633
22:30:17.267492,V100,1,1,2,small_lstm,32768,32,5430409.494763461,0.386186714284122
22:30:17.932312,V100,1,1,4,small_lstm,32768,32,6613717.905852925,0.6341824764385819
22:30:18.991134,V100,1,1,6,small_lstm,32768,32,6031923.6429297915,1.043026465922594
22:30:20.668761,V100,1,1,8,small_lstm,32768,32,4953661.910197742,1.6934155281633139
22:30:20.829580,V100,1,1,1,small_lstm,32768,64,10742177.084194446,0.19522597547620535
22:30:21.168941,V100,1,1,2,small_lstm,32768,64,6091351.698118882,0.6885670386254787
22:30:22.213331,V100,1,1,4,small_lstm,32768,64,13411457.733559333,0.6254807021468878
22:30:23.074128,V100,1,1,6,small_lstm,32768,64,14094828.9295408,0.8927325094118714
22:30:24.917274,V100,1,1,8,small_lstm,32768,64,9243250.549598726,1.8150774892419577
22:30:25.051500,V100,1,1,1,small_lstm,32768,128,32872487.77557359,0.12759314198046923
22:30:25.333889,V100,1,1,2,small_lstm,32768,128,24401636.070181616,0.34377235919237137
22:30:26.002552,V100,1,1,4,small_lstm,32768,128,21672455.103089288,0.7741262316703796
22:30:28.396899,V100,1,1,6,small_lstm,32768,128,10431951.594480103,2.4123792918398976
22:30:29.902537,V100,1,1,8,small_lstm,32768,128,25100760.061109792,1.3367894804105163
22:30:30.051015,V100,1,1,1,small_lstm,32768,256,61387298.50222457,0.13665054831653833
22:30:30.339964,V100,1,1,2,small_lstm,32768,256,58963122.13070552,0.28453744295984507
22:30:30.890201,V100,1,1,4,small_lstm,32768,256,58194701.16656985,0.5765891280025244
22:30:31.877134,V100,1,1,6,small_lstm,32768,256,52356121.857796684,0.9613326238468289
22:30:33.853061,V100,1,1,8,small_lstm,32768,256,33973379.52939732,1.975336717441678
22:30:33.990285,V100,1,1,1,small_lstm,32768,512,109263259.72719753,0.15354855824261904
22:30:34.275903,V100,1,1,2,small_lstm,32768,512,119632975.35624512,0.2804781198501587
22:30:34.808827,V100,1,1,4,small_lstm,32768,512,133052388.13381372,0.5043792519718409
22:30:36.549648,V100,1,1,6,small_lstm,32768,512,53576196.17675435,1.878880980424583
22:30:38.523800,V100,1,1,8,small_lstm,32768,512,53993346.22553657,2.4858197793364525
22:30:39.301912,V100,1,1,1,small_lstm,32768,1024,82563557.56071179,0.40640729386359453
22:30:39.876343,V100,1,1,2,small_lstm,32768,1024,222640334.20822826,0.30142275989055634
22:30:40.429432,V100,1,1,4,small_lstm,32768,1024,242914163.69387898,0.5525315031409264
22:30:41.358594,V100,1,1,6,small_lstm,32768,1024,215830140.7579933,0.9328010967001319
22:30:42.613554,V100,1,1,8,small_lstm,32768,1024,199331012.95848563,1.3466818435117602
22:30:42.846681,V100,1,1,1,medium_cnn,32768,1,105574.84335810941,0.3103769700974226
22:30:43.405502,V100,1,1,2,medium_cnn,32768,1,56155.240716379725,1.1670504687353969
22:30:45.221046,V100,1,1,4,medium_cnn,32768,1,124621.12792489675,1.0517638716846704
22:30:46.131564,V100,1,1,6,medium_cnn,32768,1,215448.18193468443,0.9125535348430276
22:30:47.462821,V100,1,1,8,medium_cnn,32768,1,199356.26827660564,1.3149523828178644
22:30:47.608202,V100,1,1,1,medium_cnn,32768,2,427449.4543854697,0.1533187124878168
22:30:47.902832,V100,1,1,2,medium_cnn,32768,2,445609.75420155376,0.2941407784819603
22:30:48.687777,V100,1,1,4,medium_cnn,32768,2,327778.58128462784,0.7997593954205513
22:30:49.835043,V100,1,1,6,medium_cnn,32768,2,343333.8023412046,1.1452877558767796
22:30:51.558966,V100,1,1,8,medium_cnn,32768,2,303611.3215837459,1.7268394250422716
22:30:51.732694,V100,1,1,1,medium_cnn,32768,4,633208.3879487325,0.20699662622064352
22:30:52.111222,V100,1,1,2,medium_cnn,32768,4,755686.7130257005,0.34689507633447647
22:30:53.639127,V100,1,1,4,medium_cnn,32768,4,320717.6417863782,1.6347338957712054
22:30:56.289876,V100,1,1,6,medium_cnn,32768,4,307882.4335816413,2.55432565882802
22:30:57.834743,V100,1,1,8,medium_cnn,32768,4,694494.7952755959,1.5098399687558413
22:30:57.990372,V100,1,1,1,medium_cnn,32768,8,1807706.5244788788,0.14501468930393457
22:30:58.271487,V100,1,1,2,medium_cnn,32768,8,1909883.6042682847,0.2745130639523268
22:30:58.876179,V100,1,1,4,medium_cnn,32768,8,1668504.4152523866,0.6284526372328401
22:31:01.741884,V100,1,1,6,medium_cnn,32768,8,488145.69712316233,3.2221199721097946
22:31:03.705387,V100,1,1,8,medium_cnn,32768,8,1266977.4870349113,1.6552401455119252
22:31:03.920679,V100,1,1,1,medium_cnn,32768,16,1874414.115422958,0.27970766741782427
22:31:04.559190,V100,1,1,2,medium_cnn,32768,16,1360497.5871920988,0.7707297755405307
22:31:06.724250,V100,1,1,4,medium_cnn,32768,16,859940.0503216689,2.438718837685883
22:31:08.656934,V100,1,1,6,medium_cnn,32768,16,2224893.0429713572,1.4138783030211926
