Timestamp,GPU,# of GPUs,Server,Concurrency,Model,# of Requests,BatchSize,Theta (inf/s),Time to inference
21:37:18.097776,A100,1,1,1,small_lstm,32768,1,2898.253740420935,11.306118419859558
21:37:29.407283,A100,1,1,2,small_lstm,32768,1,12569.623720274189,5.213839448057115
21:37:34.632584,A100,1,1,4,small_lstm,32768,1,13344.95930594391,9.821835870388895
21:37:44.503445,A100,1,1,6,small_lstm,32768,1,13339.921271992916,14.738317864947021
21:37:59.287547,A100,1,1,8,small_lstm,32768,1,14623.652199578048,17.926028082612902
21:38:17.112036,A100,1,1,1,small_lstm,32768,2,14999.741580271726,4.36914193816483
21:38:21.483214,A100,1,1,2,small_lstm,32768,2,23714.208064509767,5.52715062815696
21:38:27.021583,A100,1,1,4,small_lstm,32768,2,26050.51638857122,10.062909928150475
21:38:37.135456,A100,1,1,6,small_lstm,32768,2,25679.305422664274,15.31256369780749
21:38:52.493171,A100,1,1,8,small_lstm,32768,2,28593.55082554617,18.335882912855595
21:39:10.723729,A100,1,1,1,small_lstm,32768,4,27851.03652735098,4.706180320121348
21:39:15.431899,A100,1,1,2,small_lstm,32768,4,47562.76612767074,5.511538149323314
21:39:20.955606,A100,1,1,4,small_lstm,32768,4,51571.692557572074,10.166197268292308
21:39:31.175097,A100,1,1,6,small_lstm,32768,4,50645.8813119243,15.528054397087544
21:39:46.749670,A100,1,1,8,small_lstm,32768,4,58383.23633098379,17.960223959758878
21:40:04.599840,A100,1,1,1,small_lstm,32768,8,58936.364778780335,4.447916002012789
21:40:09.049806,A100,1,1,2,small_lstm,32768,8,92401.45136528714,5.674023429863155
18:05:11.105437,A100,1,1,8,small_lstm,32768,4,43939.0182418254,23.86434749700129
18:05:34.862845,A100,1,1,1,small_lstm,32768,8,51837.66546014485,5.057017858984182
18:05:39.921914,A100,1,1,2,small_lstm,32768,8,1371.5038825451052,382.2723410939798
18:12:02.197834,A100,1,1,4,small_lstm,32768,8,1515.9004491042713,691.718246155011
18:23:33.920996,A100,1,1,6,small_lstm,32768,8,2924.0660916581505,537.9030263669847
18:32:31.896302,A100,1,1,8,small_lstm,32768,8,3775.07514630456,555.5258951740107
18:41:47.384821,A100,1,1,1,small_lstm,32768,16,2751.2413595549074,190.56416049401741
18:44:57.951273,A100,1,1,2,small_lstm,32768,16,24612.67462750239,42.6030903130013
18:45:40.573873,A100,1,1,4,small_lstm,32768,16,197818.84068588493,10.601376454986166
18:45:51.221470,A100,1,1,6,small_lstm,32768,16,179303.33464085043,17.544168970984174
18:46:08.805305,A100,1,1,8,small_lstm,32768,16,182139.10335397066,23.028025957988575
18:46:31.729736,A100,1,1,1,small_lstm,32768,32,212050.45495783346,4.944936337007675
18:46:36.676827,A100,1,1,2,small_lstm,32768,32,360318.23809627723,5.82027712801937
18:46:42.514428,A100,1,1,4,small_lstm,32768,32,349294.8300070056,12.0079189260141
18:46:54.567946,A100,1,1,6,small_lstm,32768,32,360390.76759989944,17.45731734999572
18:47:12.066965,A100,1,1,8,small_lstm,32768,32,361653.6923546753,23.195139928982826
18:47:35.159212,A100,1,1,1,small_lstm,32768,64,443950.0721861788,4.723846512002638
18:47:39.885245,A100,1,1,2,small_lstm,32768,64,721726.3898765183,5.811487647995818
18:47:45.715633,A100,1,1,4,small_lstm,32768,64,710353.7320818192,11.809057404985651
18:47:57.568084,A100,1,1,6,small_lstm,32768,64,729100.5411777929,17.258130105998134
18:48:14.867553,A100,1,1,8,small_lstm,32768,64,721986.8218779874,23.237565412011463
18:48:38.003101,A100,1,1,1,small_lstm,32768,128,906110.7449136612,4.628908799000783
18:48:42.634154,A100,1,1,2,small_lstm,32768,128,1462718.1063270462,5.734945075004362
18:48:48.387720,A100,1,1,4,small_lstm,32768,128,1448400.6333782554,11.583270272996742
18:49:00.015306,A100,1,1,6,small_lstm,32768,128,1429556.4488030246,17.603938635002123
18:49:17.659319,A100,1,1,8,small_lstm,32768,128,1435211.8985628802,23.379427131003467
18:49:40.937650,A100,1,1,1,small_lstm,32768,256,1701208.9428499343,4.930968670989387
18:49:45.870826,A100,1,1,2,small_lstm,32768,256,2907632.5179996584,5.770060657989234
18:49:51.658997,A100,1,1,4,small_lstm,32768,256,2807823.524992764,11.950335090979934
18:50:03.655812,A100,1,1,6,small_lstm,32768,256,2887618.141929789,17.430160612013424
18:50:21.125506,A100,1,1,8,small_lstm,32768,256,2869693.633316145,23.385375783982454
18:50:44.408369,A100,1,1,1,small_lstm,32768,512,3460803.381803517,4.847780746000353
18:50:49.258272,A100,1,1,2,small_lstm,32768,512,5793858.210103393,5.791379558009794
18:50:55.067981,A100,1,1,4,small_lstm,32768,512,5702175.480088159,11.768993121018866
18:51:06.881356,A100,1,1,6,small_lstm,32768,512,5873160.4881244805,17.13954457800719
18:51:24.064348,A100,1,1,8,small_lstm,32768,512,5794180.80307209,23.164228484005434
18:51:47.124100,A100,1,1,1,small_lstm,32768,1024,6849978.151854087,4.898472850007238
18:51:52.024852,A100,1,1,2,small_lstm,32768,1024,11575860.891096083,5.797310855006799
18:51:57.845207,A100,1,1,4,small_lstm,32768,1024,11196252.610778825,11.987736670998856
18:52:09.873054,A100,1,1,6,small_lstm,32768,1024,11752669.045368059,17.130286849976983
18:52:27.043864,A100,1,1,8,small_lstm,32768,1024,11451999.370191481,23.44005158598884
18:52:50.381812,A100,1,1,1,small_lstm,32768,2048,14365531.969090335,4.671519588999217
18:52:55.055495,A100,1,1,2,small_lstm,32768,2048,23326479.720791414,5.7538784079952165
18:53:00.827920,A100,1,1,4,small_lstm,32768,2048,23629933.574041117,11.359975057013799
18:53:12.233721,A100,1,1,6,small_lstm,32768,2048,22515932.12061993,17.883034192986088
18:53:30.159727,A100,1,1,8,small_lstm,32768,2048,22996123.515052356,23.34614839099231
